Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
23	-75.5925	5.626534	-62.98853	-86.54007	306.5	-15.583524	8.076266	0.54200816	-25.632063	120000	-4.7058106e-06	6.26739	-0.0013617614	-1.1804829	0.7239018	0.020747203	0.23539999	2.0	1401.4770748615265
24	-123.94	14079.459	-59.055214	-63128.684	257.1579	-15.627937	8.306533	0.4569822	-26.053213	125000	-1.2965393e-05	39561600.0	0.001833345	-93336.0	0.7236958	0.016829057	0.29839998	3.0	1462.5403344631195
25	-117.986	280951.88	-47.47911	-1130575.5	218.31818	-48.15579	2.8865337e-05	-48.1546	-48.15579	130000	3.9855954e-06	18986689000.0	-0.00455341	-1724416.0	0.7232882	0.005846349	0.0462	79.0	1524.8447148799896
26	-103.20445	461544360000.0	-48.733173	-2167293300000.0	229.33333	-72.44543	7.6293945e-06	-72.44542	-72.44542	135000	-7.5408934e-06	4.707949e+22	-0.00316839	0.0	0.7395645	0.004317809	0.065	79.0	1587.0053360462189
27	-163.09448	1034.3591	-53.827656	-4811.489	246.6	-96.68357	7.6293945e-06	-96.68356	-96.68356	140000	-1.1871338e-05	211834.14	-0.0048252316	-19.875	0.75021064	0.023573995	0.3728	5.0	1648.4412288665771
28	-136.04784	3.995261	-48.05864	-62.73272	236.90475	-98.676155	7.6293945e-06	-98.67616	-98.67616	145000	1.1230469e-05	7465.562	-0.006027432	0.07324219	0.75046706	0.0051655583	0.058599997	79.0	1710.4367311000824
29	-157.45417	5.2189517	-48.57346	-67.8274	243.95	-98.678116	7.6293945e-06	-98.67812	-98.67812	150000	2.883911e-06	7291.6646	-0.0055997404	0.0	0.72396773	0.004705515	0.0352	79.0	1772.0263030529022
30	-141.577564	5.6410656	-48.302395	-75.15154	242.25	-98.678116	7.6293945e-06	-98.67812	-98.67812	155000	1.8005371e-06	7327.173	-0.0048269164	0.0	0.71301776	0.0074086552	0.0682	79.0	1833.9765193462372
31	-175.45464	5.53009	-42.709167	-67.03108	225.5	-98.678116	7.6293945e-06	-98.67812	-98.67812	160000	8.537292e-06	7349.958	-0.0047114594	0.0	0.70812285	0.0062462855	0.0404	79.0	1896.2619833946228
32	-116.907063	7.908139	-47.12814	-81.61807	209.21739	-98.678116	7.6293945e-06	-98.67812	-98.67812	165000	-3.5705565e-07	7009.3	-0.005467279	0.0	0.6935576	0.006501077	0.0426	79.0	1958.8107960224152
33	-163.26383	46.630104	-46.41398	-275.568	218.54546	-98.678116	7.6293945e-06	-98.67812	-98.67812	170000	5.9906006e-06	6951.3687	-0.004348926	0.0	0.67359793	0.007936867	0.042999998	79.0	2020.9999468326569
34	-97.21795	10.311047	-46.622265	-98.72139	230.66667	-98.678116	7.6293945e-06	-98.67812	-98.67812	175000	-3.5861967e-06	7108.6655	-0.004841658	0.0	0.6578698	0.008341155	0.0638	79.0	2082.7553617954254
35	-154.11519	12.512913	-43.282784	-110.669304	197.12	-98.678116	7.6293945e-06	-98.67812	-98.67812	180000	8.087158e-07	7096.6606	-0.003057614	0.0	0.64792097	0.0026653276	0.029	79.0	2146.223387002945
36	-124.811573	5.5478864	-43.29786	-66.20666	218.18182	-98.678116	7.6293945e-06	-98.67812	-98.67812	185000	1.2875366e-05	7187.779	-0.0044429596	0.0	0.64127994	0.00585084	0.045399997	79.0	2208.5201766490936
37	-116.938316	10.358315	-48.884357	-100.463135	224.09091	-98.678116	7.6293945e-06	-98.67812	-98.67812	190000	-1.1169433e-06	7190.7656	-0.0059428127	0.0	0.645301	0.009730519	0.0668	79.0	2270.5933849811554
38	-125.781395	6.2791996	-47.17882	-75.08416	214.08696	-98.678116	7.6293945e-06	-98.67812	-98.67812	195000	-6.2377926e-06	7222.1943	-0.0052829464	0.0	0.6508017	0.004957649	0.055999998	79.0	2332.8274919986725
39	-107.39221	5.7620873	-47.41773	-67.62897	211.30435	-98.678116	7.6293945e-06	-98.67812	-98.67812	200000	5.717468e-06	7060.4272	-0.0043656095	0.0	0.6358682	0.007090564	0.038	79.0	2395.0819220542908
40	-85.06698	4.24798	-48.127182	-65.06089	217.63637	-98.678116	7.6293945e-06	-98.67812	-98.67812	205000	-6.1889646e-06	7163.2334	-0.005642907	0.0	0.6331383	0.0065242653	0.0676	79.0	2456.6381497383118
41	-121.791565	5.5599217	-44.103367	-63.849815	218.40909	-98.678116	7.6293945e-06	-98.67812	-98.67812	210000	2.758789e-05	7316.678	-0.004773747	0.0	0.6236693	0.007563858	0.0486	79.0	2518.530946969986
42	-99.272163	19.92322	-39.773083	-144.06802	192.6	-98.678116	7.6293945e-06	-98.67812	-98.67812	215000	-7.5866697e-06	6713.717	-0.0056557707	0.0	0.6134613	0.0066138306	0.0796	79.0	2581.755347251892
43	-100.351227	6.841372	-40.6097	-68.09423	195.24	-98.678116	7.6293945e-06	-98.67812	-98.67812	220000	-1.9503783e-05	7290.2397	-0.0048976834	0.0	0.5977768	0.007034234	0.0424	79.0	2644.994332075119
44	-97.053402	3.2213151	-41.881298	-55.225246	200.75	-98.678116	7.6293945e-06	-98.67812	-98.67812	225000	1.2863159e-05	7457.3	-0.0059962003	0.0	0.5915546	0.007486488	0.0642	79.0	2707.8539278507233
45	-88.52693	4.086288	-40.619106	-61.438244	198.44	-98.678116	7.6293945e-06	-98.67812	-98.67812	230000	-8.689117e-06	7510.3486	-0.0025578619	0.0	0.569072	0.0036690834	0.0264	79.0	2770.82945728302
46	-77.550327	4.835845	-40.566822	-58.949898	184.55556	-98.678116	7.6293945e-06	-98.67812	-98.67812	235000	-3.0410765e-06	7475.8477	-0.0057451855	0.0	0.5579198	0.006000263	0.047799997	79.0	2834.48451089859
47	-106.38932	3.9206991	-39.125134	-55.80898	189.0	-98.678116	7.6293945e-06	-98.67812	-98.67812	240000	-5.224609e-06	7488.251	-0.00562666	0.0	0.5416682	0.006593445	0.0674	79.0	2898.32306265831
48	-68.591095	5.5899854	-39.3906	-64.84597	178.25	-98.678116	7.6293945e-06	-98.67812	-98.67812	245000	1.5531921e-05	7403.8584	-0.0034398604	0.0	0.52089536	0.0064058043	0.044	79.0	2962.8566193580627
49	-57.886715	6.6505213	-39.01375	-59.580162	181.03703	-98.678116	7.6293945e-06	-98.67812	-98.67812	250000	-1.842041e-05	7303.336	-0.0039989604	0.0	0.51320773	0.003246008	0.0422	79.0	3026.9223806858063
