Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-77.87523	1.364985	-76.13393	-79.36921	1000.0	-35.22112	0.0011682608	-35.219322	-35.222626	135000	1.4091491e-06	659.146	-0.003867407	-0.0010375977	0.8767881	0.0046880688	0.072799996	79.0	2214.92063331604
27	-81.95539	1.569918	-79.32249	-83.43642	1000.0	-35.221558	0.0010389213	-35.219627	-35.222626	140000	-2.5432587e-06	639.03796	-0.0024676414	-0.0012817383	0.87178016	0.006268123	0.045599997	79.0	2296.624790430069
28	-75.05932	2.249463	-70.88806	-77.31029	1000.0	-35.221275	0.0010391376	-35.219624	-35.222622	145000	-1.548767e-06	674.27246	-0.0047889305	-0.0014038086	0.8739599	0.0019592461	0.051799998	79.0	2378.7657387256622
29	-132.0451	52.695675	-78.87205	-229.42397	1000.0	-35.221245	0.0010885342	-35.219017	-35.22262	150000	1.1825562e-06	627.1831	-0.0070634033	-0.00079345703	0.8570711	0.0075691207	0.0818	79.0	2460.4990663528442
30	-74.96507	3.116881	-71.72199	-78.90867	1000.0	-35.221466	0.0009987326	-35.219315	-35.22262	155000	7.621765e-07	674.9948	-0.0028119965	-0.011291504	0.87646407	0.005477221	0.027199998	79.0	2542.3614683151245
31	-78.3813	9.497003	-70.91094	-96.843994	1000.0	-35.221386	0.0010015769	-35.21931	-35.222614	160000	9.254455e-06	666.5971	-0.007194014	-0.014221191	0.86550903	0.005792883	0.064399995	79.0	2626.1015424728394
32	-71.99947	1.2352155	-70.393616	-73.87346	1000.0	-35.220806	0.0010038432	-35.21939	-35.222126	165000	-6.056976e-06	689.7212	-0.005121977	-0.014587402	0.87305665	0.005931875	0.0664	79.0	2708.455733060837
33	-71.998886	0.90291107	-70.381714	-72.796295	1000.0	-35.22072	0.00103184	-35.21882	-35.222122	170000	3.1238555e-06	691.3107	-0.0029530542	-0.014526367	0.8786322	0.0044893296	0.040799998	79.0	2790.173380613327
34	-73.89261	2.2785814	-71.24818	-77.10367	1000.0	-35.21935	0.0010502562	-35.217655	-35.220654	175000	-5.530548e-06	681.74634	-0.0046703685	-0.014282227	0.8687715	0.0074632894	0.0648	79.0	2872.0199518203735
35	-73.54686	2.7304873	-70.58556	-78.65293	1000.0	-35.219284	0.0010669557	-35.21792	-35.220654	180000	-4.257965e-06	684.8525	-0.003313865	-0.014526367	0.87176704	0.0057809	0.0284	79.0	2955.422602891922
36	-76.30456	4.4566617	-71.82392	-84.84686	1000.0	-35.2187	0.0012310613	-35.216652	-35.22016	185000	-1.5788268e-05	672.65674	-0.0050895936	-0.014343262	0.86941975	0.008153346	0.058799997	79.0	3037.153815507889
37	-73.14782	1.3520434	-71.33604	-74.854706	1000.0	-35.21825	0.0011886253	-35.21667	-35.21967	190000	6.8111417e-06	685.7395	-0.00536569	-0.014404297	0.87996095	0.007879988	0.053799998	79.0	3120.071353673935
38	-79.527756	3.6202073	-73.1144	-83.31206	1000.0	-35.218685	0.0010334547	-35.216934	-35.21967	195000	1.0342407e-05	653.92944	-0.002221211	-0.014709473	0.8892487	0.003469046	0.024	79.0	3202.483110666275
39	-75.18748	5.9153395	-69.46971	-86.58209	1000.0	-35.21862	0.0010336298	-35.216362	-35.219666	200000	-6.8458558e-06	675.9241	-0.0036532122	-0.01550293	0.88152814	0.0047644447	0.031999998	79.0	3284.580161333084
40	-71.74576	1.4363809	-69.61893	-73.092285	1000.0	-35.21845	0.0011375754	-35.21636	-35.21966	205000	6.167984e-06	692.62115	-0.0031613535	-0.01574707	0.8834279	0.0053526424	0.036	79.0	3367.101193189621
41	-66.07689	2.8584266	-62.01795	-69.59321	1000.0	-35.21815	0.0011782153	-35.216354	-35.219658	210000	9.818267e-06	722.86847	-0.0037128394	-0.016052246	0.8780994	0.0097752595	0.055999998	79.0	3450.588808774948
42	-59.784412	1.8696175	-57.651344	-62.67999	1000.0	-35.217876	0.0011581819	-35.21635	-35.219654	215000	3.9833067e-06	756.3929	-0.0055443305	-0.016601562	0.8878714	0.0060527045	0.069	79.0	3532.696384191513
43	-56.734886	3.2598088	-52.800095	-62.35164	1000.0	-35.217896	0.0009803734	-35.216404	-35.219402	220000	-3.902817e-06	772.3704	-0.0016370872	-0.016540527	0.87509704	0.003417765	0.0196	79.0	3614.478716611862
44	-58.532234	1.6622831	-56.493313	-61.175026	1000.0	-35.217377	0.0009515931	-35.215363	-35.218666	225000	-3.866577e-06	763.14606	-0.003011326	-0.016418457	0.8709438	0.004078884	0.034399997	79.0	3696.7943608760834
45	-57.63869	0.6139905	-56.455364	-58.118965	1000.0	-35.217342	0.00095963426	-35.21536	-35.218662	230000	-5.426407e-06	766.4719	-0.0032941464	-0.016479492	0.87462074	0.0050685415	0.0502	79.0	3778.619285583496
46	-58.305687	0.9629046	-56.857883	-59.4427	1000.0	-35.217358	0.00086498086	-35.21566	-35.21866	235000	-1.096344e-06	764.06665	-0.0022584281	-0.016723633	0.8941874	0.0023823453	0.026999999	79.0	3860.4660489559174
47	-57.713493	1.2482389	-56.650566	-60.136734	1000.0	-35.21734	0.00089570513	-35.215652	-35.21865	240000	-2.230835e-06	767.1866	-0.003394062	-0.016479492	0.8843811	0.0059581483	0.0346	79.0	3943.60889339447
48	-57.49766	2.0226939	-54.7451	-60.83797	1000.0	-35.21684	0.0009240293	-35.214855	-35.21816	245000	-1.2595749e-05	769.4497	-0.0024229798	-0.016540527	0.8814324	0.006450676	0.0416	79.0	4025.6659283638
49	-56.496002	1.2447256	-55.185047	-58.84451	1000.0	-35.216694	0.0008515071	-35.214912	-35.21791	250000	3.6273955e-06	777.2756	-0.0027907642	-0.017822266	0.88370484	0.004350855	0.038599998	79.0	4108.417261123657
50	-53.20295	2.9721181	-48.144035	-56.17231	1000.0	-35.216537	0.0009798782	-35.214603	-35.217907	255000	6.98719e-06	792.73425	-0.0038265595	-0.018188477	0.89835346	0.005887431	0.051	79.0	4191.496024608612
51	-51.795525	3.8444831	-47.221508	-56.994904	1000.0	-35.21589	0.0008848377	-35.214413	-35.21741	260000	9.454727e-06	803.7992	-0.0062232753	-0.018249512	0.9082853	0.008088813	0.079399996	79.0	4274.529757976532
52	-43.346798	4.558389	-38.298897	-49.93817	787.0	-35.215515	0.0010263784	-35.213917	-35.216915	265000	-3.894043e-06	870.3708	-0.004137485	-0.022583008	0.8913426	0.01864025	0.3092	4.0	4357.00413274765
53	-35.369232	3.434289	-31.73963	-42.167717	461.9	-35.21589	0.0010349135	-35.213604	-35.216908	270000	-1.34674065e-05	878.3185	-0.0065212124	-0.034301758	0.89142084	0.008590983	0.0696	79.0	4441.576322793961
54	-29.340187	1.7820942	-24.774212	-33.554714	383.76923	-35.215485	0.0012655758	-35.213352	-35.216656	275000	-6.2377926e-06	932.4416	-0.0050375974	-0.036315918	0.8846831	0.0067949416	0.0508	79.0	4526.688784360886
55	-29.339384	2.8887863	-25.691544	-36.37741	351.42856	-35.21466	0.0013205915	-35.212612	-35.215916	280000	-4.4218064e-06	904.0022	-0.004371788	-0.035949707	0.8867323	0.008679742	0.055	79.0	4613.009887218475
56	-28.073986	2.5287154	-22.69802	-32.892895	336.5	-35.214394	0.0012355177	-35.21212	-35.215424	285000	8.587646e-06	883.84955	-0.003757129	-0.035949707	0.8786239	0.007213319	0.0492	79.0	4699.20489192009
57	-26.29595	2.060735	-22.95612	-31.45675	307.125	-35.213833	0.0013550837	-35.211323	-35.214924	290000	-1.3676452e-05	902.8122	-0.0050672744	-0.036193848	0.86762536	0.006064745	0.0524	79.0	4786.241357088089
58	-26.558403	2.0181358	-23.646496	-30.49986	296.375	-35.213493	0.0012201698	-35.211124	-35.214428	295000	-3.3035278e-07	878.41766	-0.0062599634	-0.035888672	0.85415876	0.0041092085	0.0624	79.0	4873.573530197144
59	-27.651443	3.7484534	-23.943241	-37.79789	287.41177	-35.2132	0.0012746166	-35.21087	-35.214172	300000	-4.004669e-06	873.88635	-0.0035267782	-0.035583496	0.82573664	0.007656227	0.049399998	79.0	4966.878411531448
60	-24.248793	1.3417894	-22.085358	-27.349867	285.17648	-35.21213	0.0013497047	-35.209076	-35.21319	305000	-5.6709287e-06	904.3797	-0.0039953506	-0.036499023	0.8278987	0.0016413204	0.054199997	79.0	5052.631901502609
61	-23.640379	1.5740902	-20.975555	-27.114782	276.33334	-35.211967	0.0012883892	-35.20963	-35.212933	310000	-8.120727e-06	925.8868	-0.0058958037	-0.038024902	0.8212616	0.004849791	0.0718	79.0	5140.866634130478
