Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-117.59211	20.077658	-82.54897	-144.01854	342.85715	-78.19353	7.6293945e-06	-78.19352	-78.19352	135000	-7.2463986e-06	2956.8943	-0.0047523314	0.0	0.81371605	0.009517245	0.0982	79.0	1615.763239145279
27	-109.405014	16.139065	-81.25398	-135.43208	337.92856	-78.19353	7.6293945e-06	-78.19352	-78.19352	140000	7.142639e-06	3059.5305	-0.0052600387	0.0	0.8116366	0.0060519096	0.0572	79.0	1677.1000428199768
28	-105.14761	15.047015	-78.1685	-125.70391	333.26666	-78.19353	7.6293945e-06	-78.19352	-78.19352	145000	9.8693845e-06	3299.3079	-0.0070287166	0.0	0.7841333	0.007977011	0.0734	79.0	1738.4758546352386
29	-121.473335	20.656559	-85.21234	-151.09758	376.46155	-78.19353	7.6293945e-06	-78.19352	-78.19352	150000	-4.318237e-06	3047.0776	-0.003123953	0.0	0.7898978	0.0062380866	0.0376	79.0	1800.004205942154
30	-122.12047	20.200039	-92.3825	-169.71635	361.23077	-78.19353	7.6293945e-06	-78.19352	-78.19352	155000	-2.8930663e-06	2901.0808	-0.0015423615	0.0	0.7975288	0.016020931	0.1908	3.0	1860.855955839157
31	-92.994644	13.30675	-75.47689	-121.17434	306.5625	-78.19353	7.6293945e-06	-78.19352	-78.19352	160000	-4.7576905e-06	3394.4888	0.0015360137	0.0	0.79771876	0.01655659	0.218	2.0	1922.6081116199493
32	-104.89406	82.67864	-65.78173	-430.34415	280.64706	-78.19353	7.6293945e-06	-78.19352	-78.19352	165000	-2.316284e-06	3656.0115	-0.0046172407	0.0	0.7977578	0.00813853	0.060599998	79.0	1984.8623578548431
33	-90.883545	12.621012	-46.99349	-99.78297	229.95238	-78.19353	7.6293945e-06	-78.19352	-78.19352	170000	-2.140808e-06	3601.1719	-0.0047771423	0.0	0.7850927	0.007260255	0.036399998	79.0	2048.780333042145
34	-85.37706	15.019161	-53.481594	-109.32342	247.7	-78.19353	7.6293945e-06	-78.19352	-78.19352	175000	1.5875245e-05	3442.3022	-0.004081723	0.0	0.77265704	0.003919116	0.0332	79.0	2112.2369158267975
35	-89.01026	13.313044	-61.153236	-108.93715	248.65	-78.19353	7.6293945e-06	-78.19352	-78.19352	180000	-4.699707e-07	3338.6018	-0.005270819	0.0	0.77125233	0.0036659958	0.034199998	79.0	2175.858447790146
36	-90.20179	11.998562	-55.685684	-116.078026	241.95	-78.19353	7.6293945e-06	-78.19352	-78.19352	185000	1.0955811e-06	3192.4038	-0.006212805	0.0	0.76737535	0.009705527	0.0824	79.0	2239.3115668296814
